experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,25,up_proj,mlp,model.layers.25.mlp.up_proj.weight,13762560,246709,13515851,0.9820739019484747,246709,13515851,0.9820739019484747
adamw_bf16,AdamW + BF16,25,k_proj,attn,model.layers.25.self_attn.k_proj.weight,393216,10920,382296,0.97222900390625,10920,382296,0.97222900390625
adamw_bf16,AdamW + BF16,25,o_proj,attn,model.layers.25.self_attn.o_proj.weight,2359296,40011,2319285,0.9830411275227865,40011,2319285,0.9830411275227865
adamw_bf16,AdamW + BF16,25,q_proj,attn,model.layers.25.self_attn.q_proj.weight,2359296,63144,2296152,0.973236083984375,63144,2296152,0.973236083984375
adamw_bf16,AdamW + BF16,25,v_proj,attn,model.layers.25.self_attn.v_proj.weight,393216,6394,386822,0.9837392171223959,6394,386822,0.9837392171223959
adamw_bf16,AdamW + BF16,26,down_proj,mlp,model.layers.26.mlp.down_proj.weight,13762560,255937,13506623,0.9814033871605283,255937,13506623,0.9814033871605283
adamw_bf16,AdamW + BF16,26,gate_proj,mlp,model.layers.26.mlp.gate_proj.weight,13762560,252555,13510005,0.9816491263253349,252555,13510005,0.9816491263253349
adamw_bf16,AdamW + BF16,26,up_proj,mlp,model.layers.26.mlp.up_proj.weight,13762560,243507,13519053,0.9823065621512277,243507,13519053,0.9823065621512277
adamw_bf16,AdamW + BF16,26,k_proj,attn,model.layers.26.self_attn.k_proj.weight,393216,10233,382983,0.9739761352539062,10233,382983,0.9739761352539062
adamw_bf16,AdamW + BF16,26,o_proj,attn,model.layers.26.self_attn.o_proj.weight,2359296,40478,2318818,0.9828431871202257,40478,2318818,0.9828431871202257
adamw_bf16,AdamW + BF16,26,q_proj,attn,model.layers.26.self_attn.q_proj.weight,2359296,58523,2300773,0.9751947191026475,58523,2300773,0.9751947191026475
adamw_bf16,AdamW + BF16,26,v_proj,attn,model.layers.26.self_attn.v_proj.weight,393216,6503,386713,0.9834620157877604,6503,386713,0.9834620157877604
